k,accuracy,f1_weighted,f1_macro,time
1,0.7288888888888889,0.7284556776387645,0.7284047116093382,0.7617437839508057
3,0.7433333333333333,0.7433342839517909,0.7433330164605141,0.7245030403137207
5,0.7433333333333333,0.7431034234234234,0.7431351351351352,0.8102567195892334
7,0.7622222222222222,0.7617045467040519,0.7617516081147946,0.7809088230133057
10,0.7855555555555556,0.7843619427811046,0.784431137724551,0.7866358757019043
15,0.79,0.7873239531666498,0.7874278773155178,1.3634092807769775
20,0.7866666666666666,0.7831910809708206,0.7833109287534359,0.8669321537017822
25,0.7955555555555556,0.7914719358533792,0.7915995489690721,0.7710874080657959
30,0.7933333333333333,0.7880620782726044,0.7882085020242915,0.8858106136322021
