feature,mean_value,std_value,min_value,max_value,skewness,kurtosis
feature_17,0.31713593,0.18597876,0.09073748,0.9962245,0.7465322,0.020345688
feature_170,0.24338692,0.13989592,0.0,1.0,0.29610988,-0.64668083
feature_171,0.2440739,0.14008301,0.0,1.0,0.3170819,-0.5473244
feature_172,0.24443156,0.14045785,0.0,1.0,0.33494216,-0.4580326
feature_173,0.24527556,0.14083773,0.0,1.0,0.34575018,-0.3880744
feature_174,0.24611743,0.14096487,0.0,1.0,0.36410394,-0.30466175
feature_175,0.24633494,0.14127553,0.0,1.0,0.38494062,-0.22109127
feature_176,0.24672644,0.14178312,0.0,1.0,0.40342554,-0.14157104
feature_177,0.24696934,0.14183491,0.0,1.0,0.42325932,-0.04119563
feature_178,0.24752645,0.14217724,0.0,1.0,0.440212,0.03638959
feature_179,0.24805658,0.14285244,0.0,1.0,0.4521406,0.09270859
feature_18,0.31504348,0.181818,0.0838661,0.98172665,0.6474665,-0.15468478
feature_180,0.24764661,0.14242059,0.0,1.0,0.4715403,0.19704628
feature_181,0.24701776,0.14246999,0.0,1.0,0.50202775,0.30848837
feature_182,0.24708603,0.14304861,0.0,1.0,0.52220446,0.40520096
feature_183,0.24720122,0.14328635,0.0,1.0,0.53524953,0.4885733
feature_184,0.24696845,0.14317884,0.0,1.0,0.5528622,0.57350683
feature_185,0.2469673,0.14333029,0.0,1.0,0.572199,0.66084194
feature_186,0.24708465,0.14361359,0.0,1.0,0.585393,0.736063
feature_187,0.24668285,0.14356197,0.0,1.0,0.605901,0.86440897
feature_188,0.247028,0.14395626,0.0,1.0,0.61828333,0.92937446
feature_189,0.24675277,0.14364417,0.0,1.0,0.63710123,1.044558
feature_19,0.31220755,0.17741422,0.076440975,0.9620941,0.55110633,-0.31859112
feature_190,0.24630564,0.14387809,0.0,1.0,0.6495066,1.0955582
feature_191,0.24636483,0.14408879,0.0,1.0,0.6518398,1.101326
feature_192,0.24645261,0.14408444,0.0,1.0,0.6651203,1.1485276
feature_193,0.24628168,0.14395474,0.0,1.0,0.6869273,1.2494011
feature_194,0.24621457,0.14410149,0.0,1.0,0.7069792,1.3618999
feature_195,0.24622007,0.14445028,0.0,1.0,0.7291206,1.4837751
feature_196,0.24633346,0.14476934,0.0,1.0,0.7444687,1.590991
